     9.78  5.96e+06   3.4e+04  5.68e+03 
      9.8  5.96e+06  3.45e+04  5.76e+03 
     9.82  5.96e+06  3.49e+04  5.85e+03 
     9.83  5.96e+06  3.54e+04  5.93e+03 
     9.85  5.96e+06  3.59e+04  6.01e+03 
     9.86  5.96e+06  3.64e+04   6.1e+03 
     9.88  5.96e+06  3.69e+04  6.18e+03 
      9.9  5.96e+06  3.74e+04  6.26e+03 
     9.91  5.96e+06  3.79e+04  6.35e+03 
     9.93  5.96e+06  3.84e+04  6.43e+03 
     9.94  5.95e+06   3.9e+04  6.52e+03 
     9.96  5.95e+06  3.95e+04  6.61e+03 
     9.97  5.95e+06     4e+04  6.69e+03 
     9.99  5.95e+06  4.05e+04  6.78e+03 
       10  5.95e+06   4.1e+04  6.87e+03 
       10  5.95e+06  4.15e+04  6.95e+03 
       10  5.95e+06  4.21e+04  7.04e+03 
       10  5.95e+06  4.26e+04  7.13e+03 
     10.1  5.95e+06  4.31e+04  7.22e+03 
     10.1  5.95e+06  4.36e+04  7.31e+03 
     10.1  5.95e+06  4.42e+04   7.4e+03 
     10.1  5.95e+06  4.47e+04  7.49e+03 
     10.1  5.95e+06  4.52e+04  7.58e+03 
     10.1  5.95e+06  4.58e+04  7.67e+03 
     10.1  5.95e+06  4.63e+04  7.76e+03 
     10.2  5.95e+06  4.68e+04  7.85e+03 
     10.2  5.94e+06  4.74e+04  7.94e+03 
     10.2  5.94e+06  4.79e+04  8.03e+03 
     10.2  5.94e+06  4.85e+04  8.12e+03 
     10.2  5.94e+06   4.9e+04  8.21e+03 
     10.2  5.94e+06  4.96e+04  8.31e+03 
     10.2  5.94e+06  5.01e+04   8.4e+03 
     10.3  5.94e+06  5.07e+04  8.49e+03 
     10.3  5.94e+06  5.12e+04  8.59e+03 
     10.3  5.94e+06  5.18e+04  8.68e+03 
     10.3  5.94e+06  5.23e+04  8.78e+03 
     10.3  5.94e+06  5.29e+04  8.87e+03 
     10.3  5.94e+06  5.35e+04  8.97e+03 
     10.3  5.94e+06   5.4e+04  9.06e+03 
     10.3  5.94e+06  5.46e+04  9.16e+03 
     10.4  5.94e+06  5.52e+04  9.25e+03 
     10.4  5.93e+06  5.57e+04  9.35e+03 
     10.4  5.93e+06  5.63e+04  9.45e+03 
     10.4  5.93e+06  5.69e+04  9.54e+03 
     10.4  5.93e+06  5.75e+04  9.64e+03 
     10.4  5.93e+06  5.81e+04  9.74e+03 
     10.4  5.93e+06  5.86e+04  9.84e+03 
     10.4  5.93e+06  5.92e+04  9.93e+03 
     10.4  5.93e+06  5.98e+04     1e+04 
     10.5  5.93e+06  6.04e+04  1.01e+04 
     10.5  5.93e+06   6.1e+04  1.02e+04 
     10.5  5.93e+06  6.16e+04  1.03e+04 
     10.5  5.93e+06  6.22e+04  1.04e+04 
     10.5  5.93e+06  6.27e+04  1.05e+04 
     10.5  5.93e+06  6.33e+04  1.06e+04 
     10.5  5.93e+06  6.39e+04  1.07e+04 
     10.5  5.92e+06  6.45e+04  1.08e+04 
     10.5  5.92e+06  6.51e+04  1.09e+04 
     10.6  5.92e+06  6.57e+04   1.1e+04 
     10.6  5.92e+06  6.63e+04  1.11e+04 
     10.6  5.92e+06   6.7e+04  1.12e+04 
     10.6  5.92e+06  6.76e+04  1.13e+04 
     10.6  5.92e+06  6.82e+04  1.14e+04 
     10.6  5.92e+06  6.88e+04  1.16e+04 
     10.6  5.92e+06  6.94e+04  1.17e+04 
     10.6  5.92e+06     7e+04  1.18e+04 
     10.6  5.92e+06  7.06e+04  1.19e+04 
     10.7  5.92e+06  7.12e+04   1.2e+04 
     10.7  5.92e+06  7.19e+04  1.21e+04 
     10.7  5.92e+06  7.25e+04  1.22e+04 
     10.7  5.91e+06  7.31e+04  1.23e+04 
     10.7  5.91e+06  7.37e+04  1.24e+04 
     10.7  5.91e+06  7.44e+04  1.25e+04 
     10.7  5.91e+06   7.5e+04  1.26e+04 
     10.7  5.91e+06  7.56e+04  1.27e+04 
     10.7  5.91e+06  7.63e+04  1.28e+04 
     10.7  5.91e+06  7.69e+04  1.29e+04 
     10.8  5.91e+06  7.75e+04   1.3e+04 
     10.8  5.91e+06  7.82e+04  1.31e+04 
