    0.326    -0.747     0.351     -0.32    -0.256      1.07   -0.0942     0.915     0.159     -1.06    -0.626     0.149     0.467 
     0.33    -0.743     0.351    -0.324    -0.259      1.07   -0.0923      0.92     0.153     -1.07     -0.62     0.145     0.467 
    0.334    -0.739     0.352    -0.328    -0.261      1.07   -0.0904     0.925     0.146     -1.07    -0.614     0.142     0.467 
    0.338    -0.736     0.352    -0.333    -0.264      1.07   -0.0886     0.931      0.14     -1.07    -0.607     0.139     0.467 
    0.342    -0.732     0.353    -0.337    -0.266      1.07   -0.0867     0.936     0.134     -1.07    -0.601     0.136     0.467 
    0.346    -0.728     0.353    -0.341    -0.269      1.07   -0.0848     0.941     0.127     -1.07    -0.594     0.133     0.467 
     0.35    -0.724     0.354    -0.345    -0.271      1.07   -0.0829     0.946      0.12     -1.08    -0.588      0.13     0.467 
    0.354     -0.72     0.354     -0.35    -0.273      1.07   -0.0811     0.951     0.114     -1.08    -0.581     0.127     0.467 
    0.358    -0.717     0.355    -0.354    -0.276      1.07   -0.0792     0.956     0.107     -1.08    -0.574     0.124     0.467 
    0.362    -0.713     0.355    -0.358    -0.278      1.07   -0.0774     0.961       0.1     -1.08    -0.567     0.121     0.467 
    0.366    -0.709     0.356    -0.363     -0.28      1.07   -0.0755     0.965    0.0932     -1.08    -0.561     0.118     0.467 
    0.369    -0.705     0.356    -0.367    -0.282      1.07   -0.0737      0.97    0.0863     -1.08    -0.554     0.115     0.467 
    0.373    -0.701     0.356    -0.371    -0.284      1.07   -0.0719     0.975    0.0793     -1.09    -0.547     0.112     0.467 
    0.377    -0.698     0.357    -0.375    -0.287      1.07     -0.07     0.979    0.0723     -1.09     -0.54     0.109     0.467 
    0.381    -0.694     0.357     -0.38    -0.289      1.07   -0.0682     0.984    0.0652     -1.09    -0.533     0.106     0.467 
    0.385     -0.69     0.357    -0.384    -0.291      1.07   -0.0664     0.988    0.0581     -1.09    -0.525     0.103     0.467 
    0.389    -0.686     0.357    -0.388    -0.293      1.07   -0.0645     0.993    0.0509     -1.09    -0.518       0.1     0.467 
    0.393    -0.682     0.358    -0.392    -0.295      1.07   -0.0627     0.997    0.0437     -1.09    -0.511     0.097     0.467 
    0.397    -0.678     0.358    -0.397    -0.297      1.07   -0.0609         1    0.0364      -1.1    -0.504    0.0942     0.467 
    0.401    -0.674     0.358    -0.401    -0.299      1.08   -0.0591      1.01    0.0291      -1.1    -0.496    0.0913     0.467 
    0.405     -0.67     0.358    -0.405    -0.301      1.08   -0.0573      1.01    0.0217      -1.1    -0.489    0.0884     0.467 
    0.408    -0.667     0.358    -0.409    -0.303      1.08   -0.0555      1.01    0.0143      -1.1    -0.482    0.0855     0.467 
    0.412    -0.663     0.358    -0.414    -0.304      1.08   -0.0537      1.02   0.00681      -1.1    -0.474    0.0827     0.467 
    0.416    -0.659     0.358    -0.418    -0.306      1.08   -0.0519      1.02 -0.000698      -1.1    -0.467    0.0799     0.467 
     0.42    -0.655     0.358    -0.422    -0.308      1.08   -0.0501      1.02  -0.00825      -1.1    -0.459     0.077     0.467 
    0.424    -0.651     0.358    -0.426     -0.31      1.08   -0.0483      1.03   -0.0158      -1.1    -0.451    0.0742     0.467 
    0.428    -0.647     0.358    -0.431    -0.311      1.08   -0.0465      1.03   -0.0235      -1.1    -0.444    0.0714     0.467 
    0.432    -0.643     0.358    -0.435    -0.313      1.08   -0.0447      1.04   -0.0311      -1.1    -0.436    0.0686     0.467 
